id,compound_id,pathway_id,creator_id,updater_id,created_at,updated_at
297,11832,51,,,2015-02-24 00:17:54 UTC,2015-02-24 00:17:54 UTC
298,11832,32,,,2015-02-24 00:17:54 UTC,2015-02-24 00:17:54 UTC
299,11832,52,,,2015-02-24 00:17:54 UTC,2015-02-24 00:17:54 UTC
300,11832,53,,,2015-02-24 00:17:55 UTC,2015-02-24 00:17:55 UTC
301,11832,50,,,2015-02-24 00:17:55 UTC,2015-02-24 00:17:55 UTC
302,11832,85,,,2015-02-24 00:17:55 UTC,2015-02-24 00:17:55 UTC
303,11832,47,,,2015-02-24 00:17:55 UTC,2015-02-24 00:17:55 UTC
304,11844,26,,,2015-02-24 00:18:29 UTC,2015-02-24 00:18:29 UTC
305,11844,37,,,2015-02-24 00:18:29 UTC,2015-02-24 00:18:29 UTC
306,11844,25,,,2015-02-24 00:18:29 UTC,2015-02-24 00:18:29 UTC
307,11859,15,,,2015-02-24 00:18:46 UTC,2015-02-24 00:18:46 UTC
308,11859,22,,,2015-02-24 00:18:46 UTC,2015-02-24 00:18:46 UTC
309,11859,7,,,2015-02-24 00:18:46 UTC,2015-02-24 00:18:46 UTC
310,11885,81,,,2015-02-24 00:19:27 UTC,2015-02-24 00:19:27 UTC
311,11885,64,,,2015-02-24 00:19:27 UTC,2015-02-24 00:19:27 UTC
312,11885,62,,,2015-02-24 00:19:27 UTC,2015-02-24 00:19:27 UTC
313,11885,7,,,2015-02-24 00:19:27 UTC,2015-02-24 00:19:27 UTC
314,12002,18,,,2015-02-24 00:21:32 UTC,2015-02-24 00:21:32 UTC
315,12002,70,,,2015-02-24 00:21:32 UTC,2015-02-24 00:21:32 UTC
316,12002,7,,,2015-02-24 00:21:32 UTC,2015-02-24 00:21:32 UTC
317,12030,27,,,2015-02-24 00:22:10 UTC,2015-02-24 00:22:10 UTC
318,12030,45,,,2015-02-24 00:22:10 UTC,2015-02-24 00:22:10 UTC
319,12042,19,,,2015-02-24 00:22:22 UTC,2015-02-24 00:22:22 UTC
320,12042,59,,,2015-02-24 00:22:22 UTC,2015-02-24 00:22:22 UTC
321,12065,86,,,2015-02-24 00:22:45 UTC,2015-02-24 00:22:45 UTC
322,12065,45,,,2015-02-24 00:22:45 UTC,2015-02-24 00:22:45 UTC
