ingredient,normalized_ingredient,food_id,food_name,food_group,food_subgroup,category,match_type
applesauce,applesauce,,,,,,unmatched
apricot,apricot,144.0,Apricot,Fruits,Drupes,specific,exact
apricot baby food,apricot baby food,,,,,,unmatched
apricot brandy,apricot brandy,,,,,,unmatched
apricot conserve,apricot conserve,,,,,,unmatched
apricot filling,apricot filling,,,,,,unmatched
apricot fruit spread,apricot fruit spread,,,,,,unmatched
apricot halves,apricot halves,,,,,,unmatched
apricot halves in juice,apricot halves in juice,,,,,,unmatched
apricot jam,apricot jam,,,,,,unmatched
apricot juice,apricot juice,,,,,,unmatched
apricot liqueur,apricot liqueur,,,,,,unmatched
apricot marmalade,apricot marmalade,,,,,,unmatched
apricot nectar,apricot nectar,,,,,,unmatched
apricot pineapple preserves,apricot pineapple preserves,,,,,,unmatched
apricot preserves,apricot preserves,,,,,,unmatched
apricot syrup,apricot syrup,,,,,,unmatched
apricots,apricots,,,,,,unmatched
apricots in juice,apricots in juice,,,,,,unmatched
apricots in light syrup,apricots in light syrup,,,,,,unmatched
apricots in syrup,apricots in syrup,,,,,,unmatched
aquavit,aquavit,,,,,,unmatched
arabic bread,arabic bread,,,,,,unmatched
arabic seven spice,arabic seven spice,,,,,,unmatched
arame seaweed,arame seaweed,,,,,,unmatched
arbol chile,arbol chile,,,,,,unmatched
arbol chiles,arbol chiles,,,,,,unmatched
arbol chili powder,arbol chili powder,,,,,,unmatched
arborio rice,arborio rice,,,,,,unmatched
arctic char,arctic char,,,,,,unmatched
arm roast,arm roast,,,,,,unmatched
armagnac,armagnac,,,,,,unmatched
aromatic bitters,aromatic bitters,,,,,,unmatched
arrowroot,arrowroot,291.0,Arrowroot,Vegetables,Tubers,specific,exact
artichoke,artichoke,,,,,,unmatched
artichoke bottoms,artichoke bottoms,,,,,,unmatched
artichoke heart,artichoke heart,,,,,,unmatched
artichoke hearts,artichoke hearts,,,,,,unmatched
artichoke hearts in brine,artichoke hearts in brine,,,,,,unmatched
artichoke hearts packed in oil,artichoke hearts packed in oil,,,,,,unmatched
artichoke pesto,artichoke pesto,,,,,,unmatched
artichoke quarters in water,artichoke quarters in water,,,,,,unmatched
artichokes,artichokes,,,,,,unmatched
artificial sweetener,artificial sweetener,,,,,,unmatched
artificial vanilla flavoring,artificial vanilla flavoring,,,,,,unmatched
artisan bread,artisan bread,,,,,,unmatched
arugula,arugula,,,,,,unmatched
arugula leaf,arugula leaf,,,,,,unmatched
arugula leaves,arugula leaves,,,,,,unmatched
asadero cheese,asadero cheese,,,,,,unmatched
asafoetida powder,asafoetida powder,,,,,,unmatched
ascorbic acid,ascorbic acid,,,,,,unmatched
asiago caesar salad dressing,asiago caesar salad dressing,,,,,,unmatched
asiago cheese,asiago cheese,,,,,,unmatched
asiago cheese rolls,asiago cheese rolls,,,,,,unmatched
asiago parmesan cheese,asiago parmesan cheese,,,,,,unmatched
asian chili sauce,asian chili sauce,,,,,,unmatched
asian noodles,asian noodles,,,,,,unmatched
asian pear,asian pear,292.0,Asian pear,Fruits,Pomes,specific,exact
asian pears,asian pears,,,,,,unmatched
asian seasoning,asian seasoning,,,,,,unmatched
asian style dressing,asian style dressing,,,,,,unmatched
asparagus,asparagus,21.0,Asparagus,Vegetables,Shoot vegetables,specific,exact
asparagus spear,asparagus spear,,,,,,unmatched
asparagus spears,asparagus spears,,,,,,unmatched
asparagus tips,asparagus tips,,,,,,unmatched
assorted crudites,assorted crudites,,,,,,unmatched
assorted fresh vegetable,assorted fresh vegetable,,,,,,unmatched
assorted fresh vegetables,assorted fresh vegetables,,,,,,unmatched
assorted herbs,assorted herbs,,,,,,unmatched
astragalus root,astragalus root,,,,,,unmatched
atkins baking mix,atkins baking mix,,,,,,unmatched
au gratin potato mix,au gratin potato mix,,,,,,unmatched
au gratin potatoes,au gratin potatoes,,,,,,unmatched
au jus mix,au jus mix,,,,,,unmatched
au jus sauce,au jus sauce,,,,,,unmatched
aubergine,aubergine,,,,,,unmatched
aubergines,aubergines,,,,,,unmatched
aunt janes krazy mixed up salt,aunt janes krazy mixed up salt,,,,,,unmatched
avocado,avocado,130.0,Avocado,Vegetables,Fruit vegetables,specific,exact
avocado dip,avocado dip,,,,,,unmatched
avocado oil,avocado oil,977.0,Avocado oil,Herbs and Spices,Oilseed crops,,exact
avocados,avocados,,,,,,unmatched
azuki beans,azuki beans,,,,,,unmatched
baby artichoke,baby artichoke,,,,,,unmatched
baby artichokes,baby artichokes,,,,,,unmatched
baby arugula,baby arugula,,,,,,unmatched
baby asparagus,baby asparagus,,,,,,unmatched
baby back rib rack,baby back rib rack,,,,,,unmatched
baby back rib racks,baby back rib racks,,,,,,unmatched
baby back ribs,baby back ribs,,,,,,unmatched
baby beets,baby beets,,,,,,unmatched
baby bella mushroom,baby bella mushroom,,,,,,unmatched
baby bella mushrooms,baby bella mushrooms,,,,,,unmatched
baby bok choy,baby bok choy,,,,,,unmatched
baby butter beans,baby butter beans,,,,,,unmatched
baby calamari,baby calamari,,,,,,unmatched
baby carrots,baby carrots,,,,,,unmatched
baby chicken,baby chicken,,,,,,unmatched
baby chickens,baby chickens,,,,,,unmatched
baby clams,baby clams,,,,,,unmatched
baby corn,baby corn,,,,,,unmatched
baby dill pickle,baby dill pickle,,,,,,unmatched
baby dill pickles,baby dill pickles,,,,,,unmatched
baby eggplants,baby eggplants,,,,,,unmatched
baby food,baby food,690.0,Baby food,Baby foods,Baby foods,specific,exact
baby gourmet potato blend,baby gourmet potato blend,,,,,,unmatched
baby green pea,baby green pea,,,,,,unmatched
baby green peas,baby green peas,,,,,,unmatched
baby greens,baby greens,,,,,,unmatched
baby leeks,baby leeks,,,,,,unmatched
baby lettuces,baby lettuces,,,,,,unmatched
baby lima beans,baby lima beans,,,,,,unmatched
baby octopus,baby octopus,,,,,,unmatched
baby onion,baby onion,,,,,,unmatched
baby onions,baby onions,,,,,,unmatched
baby peas,baby peas,,,,,,unmatched
baby portabella mushrooms,baby portabella mushrooms,,,,,,unmatched
baby potatoes,baby potatoes,,,,,,unmatched
baby red potato,baby red potato,,,,,,unmatched
baby red potatoes,baby red potatoes,,,,,,unmatched
baby rocket,baby rocket,,,,,,unmatched
baby salad leaves,baby salad leaves,,,,,,unmatched
baby shrimp,baby shrimp,,,,,,unmatched
baby spinach,baby spinach,,,,,,unmatched
baby spinach leaves,baby spinach leaves,,,,,,unmatched
baby sweet corn cobs,baby sweet corn cobs,,,,,,unmatched
baby swiss cheese,baby swiss cheese,,,,,,unmatched
baby tomatoes,baby tomatoes,,,,,,unmatched
baby turnip,baby turnip,,,,,,unmatched
baby turnips,baby turnips,,,,,,unmatched
bacardi 151 rum,bacardi 151 rum,,,,,,unmatched
bacardi dark rum,bacardi dark rum,,,,,,unmatched
bacardi light rum,bacardi light rum,,,,,,unmatched
bacardi limon,bacardi limon,,,,,,unmatched
bacardi peach red rum,bacardi peach red rum,,,,,,unmatched
back bacon,back bacon,,,,,,unmatched
back ribs,back ribs,,,,,,unmatched
backfin crab meat,backfin crab meat,,,,,,unmatched
bacon,bacon,,,,,,unmatched
bacon bits,bacon bits,,,,,,unmatched
bacon cheddar cheese,bacon cheddar cheese,,,,,,unmatched
bacon drippings,bacon drippings,,,,,,unmatched
bacon fat,bacon fat,,,,,,unmatched
bacon grease,bacon grease,,,,,,unmatched
bacon piece,bacon piece,,,,,,unmatched
bacon pieces,bacon pieces,,,,,,unmatched
bacos bacon bits,bacos bacon bits,,,,,,unmatched
badia complete seasoning,badia complete seasoning,,,,,,unmatched
bagel,bagel,831.0,Bagel,Cereals and cereal products,Leavened breads,specific,exact
bagel chips,bagel chips,,,,,,unmatched
bagels,bagels,,,,,,unmatched
bagoong,bagoong,,,,,,unmatched
baguette,baguette,,,,,,unmatched
baharat,baharat,,,,,,unmatched
baharat spice mix,baharat spice mix,,,,,,unmatched
baileys caramel irish cream,baileys caramel irish cream,,,,,,unmatched
baileys irish cream,baileys irish cream,,,,,,unmatched
baileys mint chocolate irish cream liqueur,baileys mint chocolate irish cream liqueur,,,,,,unmatched
baked beans,baked beans,730.0,Baked beans,Dishes,Other dishes,specific,exact
baked beans in tomato sauce,baked beans in tomato sauce,,,,,,unmatched
baked beans with molasses,baked beans with molasses,,,,,,unmatched
baked corn tortilla chips,baked corn tortilla chips,,,,,,unmatched
baked potato chips,baked potato chips,,,,,,unmatched
baked tofu,baked tofu,,,,,,unmatched
bakers angel flake sweetened coconut,bakers angel flake sweetened coconut,,,,,,unmatched
bakers germans chocolate,bakers germans chocolate,,,,,,unmatched
bakers joy,bakers joy,,,,,,unmatched
bakers semi sweet baking chocolate,bakers semi sweet baking chocolate,,,,,,unmatched
bakers semi sweet chocolate,bakers semi sweet chocolate,,,,,,unmatched
bakers special dry milk,bakers special dry milk,,,,,,unmatched
bakers unsweetened chocolate squares,bakers unsweetened chocolate squares,,,,,,unmatched
baking apple,baking apple,,,,,,unmatched
baking apples,baking apples,,,,,,unmatched
baking chocolate,baking chocolate,,,,,,unmatched
baking chocolate squares,baking chocolate squares,,,,,,unmatched
baking cocoa,baking cocoa,,,,,,unmatched
baking hen,baking hen,,,,,,unmatched
baking mix,baking mix,,,,,,unmatched
baking potato,baking potato,,,,,,unmatched
baking potatoes,baking potatoes,,,,,,unmatched
baking powder,baking powder,,,,,,unmatched
baking sheet,baking sheet,,,,,,unmatched
baking soda,baking soda,,,,,,unmatched
balkan style yogurt,balkan style yogurt,,,,,,unmatched
balloons,balloons,,,,,,unmatched
balsamic dressing,balsamic dressing,,,,,,unmatched
balsamic glaze,balsamic glaze,,,,,,unmatched
balsamic syrup,balsamic syrup,,,,,,unmatched
balsamic vinaigrette,balsamic vinaigrette,,,,,,unmatched
balsamic vinegar,balsamic vinegar,,,,,,unmatched
bamboo shoot,bamboo shoot,,,,,,unmatched
bamboo shoots,bamboo shoots,298.0,Bamboo shoots,Vegetables,Shoot vegetables,specific,exact
bamboo skewer,bamboo skewer,,,,,,unmatched
bamboo skewers,bamboo skewers,,,,,,unmatched
banana,banana,208.0,Banana,Fruits,Tropical fruits,specific,exact
banana baby food,banana baby food,,,,,,unmatched
banana blueberry yogurt,banana blueberry yogurt,,,,,,unmatched
banana bread,banana bread,,,,,,unmatched
banana cake mix,banana cake mix,,,,,,unmatched
banana chips,banana chips,,,,,,unmatched
banana cream instant pudding,banana cream instant pudding,,,,,,unmatched
banana extract,banana extract,,,,,,unmatched
banana flavoring,banana flavoring,,,,,,unmatched
