compound_id,canonical_flavor,flavor_group
10439,sweet,balsamic
10439,fat,fatty
10439,floral,floral
10503,almond,nutty
10856,apple,fruity
10856,banana,fruity
10856,sweet,balsamic
13577,woode,woody
3408,fruit,fruity
3408,berre,fruity
3408,pineapple,fruity
700,cream,fatty
700,cheese,fatty
700,fat,fatty
700,coconut,fruity
9068,minte,minty
9068,woode,woody
19914,fruit,fruity
19914,sweet,balsamic
19914,banana,fruity
19914,brande,wine_like
15741,woode,woody
15741,spice,spicy
22100,fruit,fruity
22100,citru,citrus
22100,green,green
2743,spice,spicy
13946,corn,vegetable
13946,fat,fatty
13946,tobacco,tobacco
889,sweet,balsamic
889,floral,floral
889,spice,spicy
889,balsam,balsamic
889,cinnamon,balsamic
3197,oile,fatty
3197,fruit,fruity
3197,violet,floral
15045,fruit,fruity
15045,green,green
15045,sweet,balsamic
15045,muste,earthy
15045,apricot,fruity
15045,pineapple,fruity
16240,floral,floral
16240,green,green
16240,fruit,fruity
8511,sulfur,chemical
12155,floral,floral
706,sulfur,chemical
706,muste,earthy
706,meat,meaty
706,nut,nutty
8209,cinnamon,balsamic
8209,woode,woody
8209,sweet,balsamic
8398,sweet,balsamic
8398,earth,earthy
10841,sweet,balsamic
10841,floral,floral
10841,orange,citrus
10841,blossom,floral
12440,oile,fatty
18358,chocolate,balsamic
1371,sweet,balsamic
1371,fruit,fruity
1371,floral,floral
1371,balsam,balsamic
16057,woode,woody
16057,spice,spicy
16057,earth,earthy
15003,spice,spicy
15003,sweet,balsamic
15003,vegetable,vegetable
13725,rose,floral
13725,oile,fatty
13519,woode,woody
13519,citru,citrus
8867,floral,floral
8867,woode,woody
8867,sweet,balsamic
8867,minte,minty
15077,fruit,fruity
15077,berre,fruity
15077,apple,fruity
16866,fruit,fruity
16866,green,green
9402,sulfur,chemical
9649,fruit,fruity
9649,sweet,balsamic
9649,berre,fruity
8350,fat,fatty
8350,pear,fruity
8350,melon,citrus
952,fruit,fruity
952,mushroom,earthy
952,tobacco,tobacco
952,sweet,balsamic
9184,meat,meaty
9184,nut,nutty
2930,spice,spicy
23151,oile,fatty
9785,minte,minty
888,sweet,balsamic
888,balsam,balsamic
888,hyacinth,floral
888,spice,spicy
888,green,green
17256,fruit,fruity
12057,cinnamon,balsamic
15068,floral,floral
15068,chocolate,balsamic
15068,fruit,fruity
15068,balsam,balsamic
15068,spice,spicy
8302,pear,fruity
19928,sweet,balsamic
19928,fruit,fruity
19928,pineapple,fruity
19928,green,green
19928,banana,fruity
12841,rose,floral
12841,green,green
8235,green,green
8235,fruit,fruity
8235,apple,fruity
8235,orange,citrus
16972,green,green
16972,leafe,green
16972,vegetable,vegetable
3387,fruit,fruity
20885,fat,fatty
20885,citru,citrus
20885,orange,citrus
18089,sweet,balsamic
18089,green,green
9860,minte,minty
14994,coconut,fruity
14994,spice,spicy
9967,fruit,fruity
9967,green,green
9967,citru,citrus
9967,muste,earthy
18000,green,green
18000,earth,earthy
18000,mushroom,earthy
12455,sweet,balsamic
12455,banana,fruity
10138,fruit,fruity
10138,rum,wine_like
15067,sweet,balsamic
15067,oile,fatty
15067,green,green
8546,nut,nutty
8546,corn,vegetable
8546,hazelnut,nutty
20169,fruit,fruity
9806,fruit,fruity
12156,floral,floral
12156,sweet,balsamic
12156,fruit,fruity
16033,minte,minty
3338,green,green
3338,sweet,balsamic
3338,vegetable,vegetable
11535,green,green
11535,vegetable,vegetable
11535,tomato,vegetable
3383,sweet,balsamic
3383,apricot,fruity
3345,earth,earthy
3345,woode,woody
17264,sweet,balsamic
17264,fruit,fruity
12831,animal,animal
10920,muste,earthy
10920,green,green
14853,green,green
14853,grapefruit,fruity
8230,sweet,balsamic
8230,cream,fatty
8230,caramel,balsamic
8230,nut,nutty
8230,cheese,fatty
9272,oile,fatty
9272,floral,floral
9272,rose,floral
9272,spice,spicy
9408,sweet,balsamic
9408,berre,fruity
9408,floral,floral
29922,caramel,balsamic
29922,maple,woody
9556,sweet,balsamic
9556,floral,floral
9556,rose,floral
9556,pear,fruity
16013,sweet,balsamic
16013,maple,woody
13578,sweet,balsamic
18767,fruit,fruity
18767,sulfur,chemical
18767,sweet,balsamic
16230,rose,floral
16230,sweet,balsamic
16230,honee,balsamic
15547,sweet,balsamic
15547,coumarin,spicy
15547,cinnamon,balsamic
19508,fat,fatty
9958,earth,earthy
18606,fruit,fruity
9403,meat,meaty
9403,spice,spicy
9564,sweet,balsamic
9564,fat,fatty
9564,green,green
17545,woode,woody
10426,sulfur,chemical
16195,spice,spicy
16195,geranium,floral
16195,citru,citrus
14695,muste,earthy
14695,alcohol,chemical
16814,berre,fruity
10407,fruit,fruity
16174,floral,floral
16174,spice,spicy
16174,geranium,floral
925,nut,nutty
925,potato,vegetable
925,earth,earthy
1370,rum,wine_like
1370,fruit,fruity
1370,strawberre,fruity
1370,apple,fruity
9328,meat,meaty
9295,minte,minty
20152,pineapple,fruity
20152,fruit,fruity
20152,tomato,vegetable
18377,green,green
18377,woode,woody
18377,apple,fruity
18377,banana,fruity
18377,watermelon,fruity
577,fennel,herbaceous
577,fruit,fruity
11048,sulfur,chemical
11048,green,green
8162,sweet,balsamic
8162,berre,fruity
8162,cheese,fatty
20131,oile,fatty
20131,fat,fatty
16753,sweet,balsamic
16753,oile,fatty
16753,floral,floral
16988,woode,woody
16988,sweet,balsamic
21436,floral,floral
21436,rose,floral
21436,sweet,balsamic
19997,fruit,fruity
19997,sweet,balsamic
19997,spice,spicy
8381,fat,fatty
14947,green,green
14947,woode,woody
10840,medicinal,medicinal
9393,fruit,fruity
9393,green,green
9798,sulfur,chemical
9798,cabbage,vegetable
15082,lile,floral
15082,green,green
15082,lemon,citrus
13762,woode,woody
13762,balsam,balsamic
13762,sweet,balsamic
12471,hazelnut,nutty
16245,spice,spicy
9128,cedar,woody
9128,woode,woody
29879,nut,nutty
29879,fruit,fruity
13425,floral,floral
13425,rose,floral
16358,green,green
16358,apple,fruity
16358,pear,fruity
16358,fruit,fruity
4622,fruit,fruity
4622,green,green
4622,leafe,green
16912,sweet,balsamic
16912,fruit,fruity
8071,sweet,balsamic
8071,caramel,balsamic
8071,butter,fatty
8071,oile,fatty
8071,fat,fatty
8071,cream,fatty
8071,fruit,fruity
18433,sulfur,chemical
18433,fruit,fruity
9646,spice,spicy
9646,balsam,balsamic
9646,carnation,floral
9871,green,green
9871,spice,spicy
9871,vegetable,vegetable
9801,earth,earthy
9801,pepper,pepper
9801,potato,vegetable
14630,minte,minty
14630,sweet,balsamic
10510,nut,nutty
21562,animal,animal
21562,rose,floral
21562,honee,balsamic
21562,lile,floral
21562,hyacinth,floral
3353,fruit,fruity
3353,berre,fruity
17550,woode,woody
17550,apple,fruity
17550,green,green
11709,fruit,fruity
11709,banana,fruity
11709,apple,fruity
11709,pineapple,fruity
11709,green,green
2796,anise,balsamic
16575,green,green
14509,sweet,balsamic
13903,coumarin,spicy
8154,sweet,balsamic
8154,caramel,balsamic
8154,maple,woody
8154,woode,woody
9076,spice,spicy
9605,sour,fatty
10417,woode,woody
10417,fruit,fruity
3302,citru,citrus
3302,green,green
3302,cucumber,vegetable
3302,melon,citrus
1462,floral,floral
1462,sweet,balsamic
10899,woode,woody
4003,minte,minty
9659,fruit,fruity
9659,fat,fatty
9017,fruit,fruity
11814,fruit,fruity
11814,sweet,balsamic
8372,sulfur,chemical
15571,floral,floral
15571,rose,floral
499,earth,earthy
499,potato,vegetable
499,nut,nutty
499,corn,vegetable
14118,citru,citrus
3309,sweet,balsamic
3309,earth,earthy
16290,earth,earthy
16290,green,green
16290,vegetable,vegetable
16290,potato,vegetable
21570,green,green
21570,vegetable,vegetable
21570,nut,nutty
15308,earth,earthy
15308,fruit,fruity
3269,fruit,fruity
3269,sweet,balsamic
3269,banana,fruity
9944,green,green
9944,cucumber,vegetable
8535,hazelnut,nutty
8535,pineapple,fruity
8535,earth,earthy
12040,sulfur,chemical
12040,green,green
14162,oile,fatty
12544,fruit,fruity
13703,sweet,balsamic
13703,strawberre,fruity
13703,fruit,fruity
13703,orange,citrus
13703,blossom,floral
808,fruit,fruity
808,cherre,fruity
8219,sweet,balsamic
8219,oile,fatty
8219,green,green
9784,minte,minty
13699,grape,fruity
13699,sweet,balsamic
13699,fruit,fruity
13699,floral,floral
13699,berre,fruity
13913,sweet,balsamic
13913,cinnamon,balsamic
13913,spice,spicy
13913,jam,fruity
15095,fruit,fruity
15095,apricot,fruity
15095,pineapple,fruity
15095,green,green
15095,banana,fruity
15074,green,green
15074,leafe,green
15074,sweet,balsamic
15074,melon,citrus
15074,violet,floral
15074,fruit,fruity
12375,horseradish,vegetable
11115,smoke,smoky
11115,woode,woody
1267,fruit,fruity
1267,green,green
1267,apple,fruity
1267,banana,fruity
1267,sweet,balsamic
9405,fruit,fruity
15517,green,green
15517,apple,fruity
15517,sweet,balsamic
15517,fruit,fruity
3173,fruit,fruity
3173,cheese,fatty
12476,sweet,balsamic
12476,animal,animal
12476,fat,fatty
8524,fat,fatty
3281,oile,fatty
3281,fruit,fruity
3281,sweet,balsamic
3281,rose,floral
14992,beef,meaty
14519,floral,floral
14519,sweet,balsamic
14519,lile,floral
14426,woode,woody
20209,sweet,balsamic
20209,smoke,smoky
20209,vanilla,balsamic
12632,spice,spicy
12632,clove,herbaceous
8393,sweet,balsamic
8393,fruit,fruity
8393,strawberre,fruity
8393,floral,floral
8393,honee,balsamic
8393,fat,fatty
9291,citru,citrus
9291,grapefruit,fruity
8172,sweet,balsamic
20884,green,green
20884,earth,earthy
20884,woode,woody
840,vanilla,balsamic
20022,fruit,fruity
20022,balsam,balsamic
15088,fruit,fruity
15088,pineapple,fruity
17232,cherre,fruity
17232,fruit,fruity
17298,green,green
17298,leafe,green
17298,fat,fatty
17298,nut,nutty
15033,sweet,balsamic
15033,maple,woody
8885,green,green
8055,green,green
8055,rum,wine_like
8055,apricot,fruity
8055,woode,woody
12583,green,green
12583,oile,fatty
12583,violet,floral
12583,leafe,green
8256,sweet,balsamic
8256,floral,floral
14711,citru,citrus
14711,green,green
14711,muste,earthy
14711,apple,fruity
3274,vegetable,vegetable
8157,sweet,balsamic
8157,fruit,fruity
8157,fat,fatty
29829,woode,woody
15043,meat,meaty
5380,sweet,balsamic
804,meat,meaty
804,sulfur,chemical
14954,floral,floral
14954,lavender,floral
14954,citru,citrus
20205,sweet,balsamic
20205,floral,floral
20205,fruit,fruity
9372,meat,meaty
21554,sulfur,chemical
21554,meat,meaty
14948,citru,citrus
3337,fat,fatty
3337,oile,fatty
3337,vegetable,vegetable
11179,fruit,fruity
11179,cheese,fatty
9572,pear,fruity
9307,fruit,fruity
9307,spice,spicy
9835,sweet,balsamic
9835,spice,spicy
10570,medicinal,medicinal
10570,smoke,smoky
14926,green,green
14926,fat,fatty
8747,pear,fruity
8747,sweet,balsamic
8747,pineapple,fruity
8747,green,green
16765,vanilla,balsamic
16765,fruit,fruity
8093,green,green
8093,muste,earthy
8093,tomato,vegetable
16764,rum,wine_like
16764,sweet,balsamic
16764,chocolate,balsamic
16764,cream,fatty
16764,vanilla,balsamic
16764,spice,spicy
16764,smoke,smoky
15757,meat,meaty
1367,sweet,balsamic
1367,fruit,fruity
18989,sweet,balsamic
18989,woode,woody
18989,fruit,fruity
18989,pineapple,fruity
18989,oile,fatty
15052,sulfur,chemical
15052,minte,minty
16744,sweet,balsamic
16744,fruit,fruity
16744,apricot,fruity
16744,peach,fruity
16744,plum,fruity
16744,green,green
11619,sweet,balsamic
11619,fruit,fruity
14610,green,green
14610,fat,fatty
14610,floral,floral
3169,green,green
9327,fruit,fruity
8792,nut,nutty
8731,sweet,balsamic
8731,woode,woody
8731,clove,herbaceous
8731,smoke,smoky
18360,green,green
19078,fruit,fruity
19078,sulfur,chemical
16242,sweet,balsamic
16242,fruit,fruity
16242,floral,floral
16242,geranium,floral
14913,green,green
14913,sweet,balsamic
8065,green,green
8065,carawae,herbaceous
20000,sweet,balsamic
20000,clove,herbaceous
16301,sweet,balsamic
16301,coumarin,spicy
16301,woode,woody
19211,sweet,balsamic
19211,caramel,balsamic
19211,rum,wine_like
19505,green,green
9554,sweet,balsamic
9554,green,green
19871,fruit,fruity
19871,sweet,balsamic
19871,spice,spicy
19871,green,green
16832,fruit,fruity
16832,grapefruit,fruity
19856,fat,fatty
19856,cream,fatty
10162,meat,meaty
29850,fruit,fruity
13414,fat,fatty
13414,green,green
13414,melon,citrus
13414,cucumber,vegetable
16867,sweet,balsamic
16867,fruit,fruity
16867,peach,fruity
19638,green,green
19638,woode,woody
19638,leafe,green
19916,meat,meaty
19916,sulfur,chemical
9566,sweet,balsamic
9566,green,green
11816,cream,fatty
11816,peach,fruity
11816,coconut,fruity
2938,green,green
2938,cucumber,vegetable
2938,melon,citrus
2938,cantaloupe,fruity
411,green,green
411,fruit,fruity
411,pineapple,fruity
5305,fat,fatty
5305,spice,spicy
19905,butter,fatty
19905,green,green
15499,muste,earthy
15499,nut,nutty
15499,chocolate,balsamic
23731,fat,fatty
23731,green,green
14999,minte,minty
10000,green,green
12554,fruit,fruity
12554,green,green
12554,sweet,balsamic
12554,banana,fruity
3375,sweet,balsamic
3375,sulfur,chemical
3375,vegetable,vegetable
3375,potato,vegetable
3375,earth,earthy
3375,tomato,vegetable
18455,sweet,balsamic
18455,fruit,fruity
18455,berre,fruity
18455,floral,floral
18455,caramel,balsamic
13472,fat,fatty
13472,green,green
13472,pepper,pepper
13472,mushroom,earthy
19918,meat,meaty
19918,vegetable,vegetable
19918,beef,meaty
9788,sweet,balsamic
9788,fruit,fruity
