food_id_a,food_id_b,pair_count,freq_a,freq_b,pmi,avg_rating,novelty_score,chemistry_overlap,shared_compounds
118,667,1058,2211,22091,0.595983333080541,4.283990096671501,4.384386796260374,0.1797752808988764,16
666,714,1052,36056,1417,0.5452960554984179,4.324551206762318,4.39000329152224,0.3592233009708738,37
8,995,1050,8536,5615,0.6072742492593637,4.447588767857208,4.3918826659371835,,0
67,666,1045,1837,36056,0.279027981075229,4.3718155606940385,4.396597002930176,0.1676300578034682,29
633,941,1029,11710,16880,-0.8297670226457341,4.358154853703759,4.411837794514557,0.0,0
8,968,1028,8536,5267,0.6500798998120593,4.4548373584244665,4.412798293340635,0.02,1
118,586,1023,2211,4438,2.1673089478635683,4.167104604389407,4.417615016354313,0.32222222222222224,29
131,941,982,2536,16880,0.6533366909093287,4.377669378284018,4.458034894985991,0.01098901098901099,1
195,586,967,4173,4438,1.4758223776311301,4.164670442910082,4.4732507303097595,0.5,33
666,967,966,36056,2735,-0.19757797875212033,4.326059058923317,4.474273591931663,0.01098901098901099,1
40,131,946,15041,2536,0.7313376351014758,4.395076401228198,4.494958835471627,0.20909090909090908,23
716,995,881,3148,5615,1.4293116154882697,4.454663135580292,4.565376323371991,,0
667,995,881,22091,5615,-0.5190913397166215,4.446902776581205,4.565376323371991,,0
825,941,868,8072,16880,-0.6278761492611153,4.278465194685648,4.580088672900931,0.0,0
667,967,868,22091,2735,0.18535290132401122,4.406577406247651,4.580088672900931,0.02631578947368421,1
643,667,816,4073,22091,-0.274672851164563,4.2765940916688825,4.641251549688824,0.1,9
666,716,795,36056,3148,-0.5330355929915188,4.328277499612722,4.667075526364991,0.32710280373831774,35
40,985,786,15041,3786,0.14532984226665252,4.390510961748281,4.678354431019293,0.10204081632653061,10
8,670,777,8536,14657,-0.6533072923793151,4.361324160716788,4.689764444184123,0.25,19
633,985,777,11710,3786,0.3841500282685438,4.266751929910461,4.689764444184123,0.09876543209876543,8
666,912,774,36056,1793,0.0030713018760374047,4.424149518942063,4.693597442145849,0.21428571428571427,30
643,941,768,4073,16880,-0.0662566763887611,4.4448408051455575,4.701308621179054,0.01639344262295082,1
8,716,762,8536,3148,0.8653496194296905,4.3493251526156085,4.709080832195351,0.8035714285714286,45
965,968,752,1724,5267,1.9370911195047396,4.34585771690148,4.722172775331492,1.0,1
667,714,747,22091,1417,0.6928158469618794,4.320517324945407,4.728784764600696,0.45,27
131,667,743,2536,22091,0.10540063068038519,4.353076909804359,4.7341065828583275,0.205607476635514,22
685,995,721,12340,5615,-0.13718556108504582,4.442096712296062,4.763903178388681,,0
912,941,720,1793,16880,0.6896944365169475,4.420679700868876,4.76527926969412,0.0,0
245,941,707,2582,16880,0.3067997926019643,4.42263781191554,4.783345961460071,0.0,0
118,633,701,2211,11710,0.8190827158473083,4.181269481749218,4.791797722638621,0.08433734939759036,7
670,995,695,14657,5615,-0.34598487137312467,4.438080248289502,4.800322741381117,,0
40,245,691,15041,2582,0.3992586339677962,4.385733463630334,4.806047411890867,0.18181818181818182,18
586,685,690,4438,12340,0.054104662901314375,4.207038021458712,4.807483799895046,0.375,24
40,967,681,15041,2735,0.327113972900145,4.362705065136548,4.820506541480284,0.0,0
633,968,675,11710,5267,-0.08672851894069507,4.294348138948414,4.82928511721189,0.0,0
54,666,657,1477,36056,0.03306063784467392,4.505951563693533,4.856100640678957,0.18571428571428572,26
685,716,656,12340,3148,0.34701034820934384,4.288382415132524,4.857612027280534,0.16,12
54,941,653,1477,16880,0.7858975448570306,4.486411829731806,4.862160157289805,0.013333333333333334,1
