id,name,flavor_group,canonical_name
336,bouillon,,bouillon
337,bourbon,,bourbon
338,brassylate,,brassylate
339,bread crust,,bread crust
340,bready,,breade
341,broom,,broom
342,broth,,broth
343,brothy,,brothe
344,brown,,brown
345,brussel sprouts,,brussel sprout
346,buchu,,buchu
347,burnt almonds,,burnt almond
348,buttered,,butter
349,buttermilk,,butter milk
350,buttery,,butter
351,butyrate,,butyrate
352,butyric,,butyric
353,cacao,,cacao
354,caco,,caco
355,cadaverous,,cadaverou
356,cake,,cake
357,camphoreous,,camphoreou
358,cananga,,cananga
359,candy,,cande
360,cantaloupe rind,,cantaloupe rind
361,capers,,caper
362,caramellic,,caramellic
363,carao,,carao
364,cardamom,,cardamom
365,carvone,,carvone
366,cashew,,cashew
367,casky,,caske
368,cassia,,cassia
369,cassie,,cassie
370,cassis,,cassi
371,castoreum,,castoreum
372,cat-urine,,cat urine
373,catty,,catte
374,cauliflower,,cauliflower
375,cayloxol,,cayloxol
376,cedarleaf,,cedarleaf
377,cedarwood,,cedarwood
378,celery seed,,celere seed
379,cereal,,cereal
380,chamomile,,chamomile
381,cheesy,,cheese
382,cherry-pit,,cherre pit
383,chicken,,chicken
384,chicken coop,,chicken coop
385,chip,,chip
386,chlorine,,chlorine
387,chloroform,,chloroform
388,chrysanthemum,,chrysanthemum
389,cigar box,,cigar box
390,cinnamate,,cinnamate
391,cinnamic,,cinnamic
392,cinnamyl,,cinnamyl
393,cistus,,cistu
394,citral,,citral
395,citralva,,citralva
396,citric,,citric
397,citronella,,citronella
398,citronellol,,citronellol
399,citronellyl acetate,,citronellyl acetate
400,citrus peel,,citru peel
401,civet,,civet
402,clam,,clam
403,clary,,clare
404,clean,,clean
405,clean cloth,,clean cloth
406,clean clothes,,clean cloth
407,clean cloths,,clean cloth
408,clover,,clover
409,concord grape,,concord grape
410,cooked,,cook
411,cooked beef juice,,cook beef juice
412,cookies,,cooky
413,cool,,cool
414,cooling,,cool
415,cortex,,cortex
416,costus,,costu
417,cotton,,cotton
418,coumarinic,,coumarinic
419,crab,,crab
420,creosote,,creosote
421,cresol,,cresol
422,crispy,,crispe
423,cucumber seed,,cucumber seed
424,cucumber skin,,cucumber skin
425,cultured dairy,,cultur daire
426,cumin,,cumin
427,cuminic acetate,,cuminic acetate
428,cuminseed,,cuminse
429,custard,,custard
430,cut grass,,cut gras
431,cut privet,,cut privet
432,cyclamen,,cyclamen
433,cypress,,cypres
434,dairy,,daire
435,damascone,,damascone
436,damp,,damp
437,dank,,dank
438,dark,,dark
439,date,,date
440,decomposing cabbage,,decompos cabbage
441,deep,,deep
442,delicate,,delicate
443,dewy,,dewe
444,diffusive,,diffusive
445,dihydrolinalool,,dihydrolinalool
446,diphenyl oxide,,diphenyl oxide
447,dirt,,dirt
448,dirty,,dirte
449,diterpene,,diterpene
450,dried berry,,dri berre
451,dried fruit,,dri fruit
452,dried raspberry,,dri raspberre
453,dry,,dry
454,durian,,durian
455,dusty,,duste
456,egg,,egg
457,elderflower,,elderflower
458,elemi,,elemi
459,estery,,estere
460,ethereal,,ethereal
461,ethyl benzoate,,ethyl benzoate
462,ethyl safranate,,ethyl safranate
463,eucalyptus,,eucalyptu
464,eugenol,,eugenol
465,everlasting,,everlast
466,extremely sweet,,extreme sweet
467,faint,,faint
468,farnesol,,farnesol
469,feet,,feet
470,fenchyl,,fenchyl
471,fenugreek,,fenugreek
472,fermented,,ferment
473,fern,,fern
474,feta cheese,,feta cheese
475,fig,,fig
476,filbert,,filbert
477,fine,,fine
478,fir,,fir
479,fir needle,,fir needle
480,flat,,flat
481,fleafy,,fleafe
482,fleshy,,fleshe
483,flower shop,,flower shop
484,foliage,,foliage
485,forest,,forest
486,formyl,,formyl
487,fragrant,,fragrant
488,freesia,,freesia
489,fresh air,,fresh air
490,fresh outdoors,,fresh outdoor
491,freshly bruised dock leaves,,fresh bruis dock leav
492,freshly bruised mallow leaves,,fresh bruis mallow leav
493,freshly bruised sage leaves,,fresh bruis sage leav
494,freshly plowed soil,,fresh plow soil
495,fungal,,fungal
496,furfural,,furfural
497,fusel,,fusel
498,galbanum,,galbanum
499,gassy,,gasse
500,genet,,genet
501,genista,,genista
502,genuine,,genuine
503,gin,,gin
504,ginger,,ginger
505,ginger root oil,,ginger root oil
506,glue,,glue
507,gooseberry,,gooseberre
508,grain,,grain
509,grape skin,,grape skin
510,grapefruit peel,,grapefruit peel
511,grapefruit skin,,grapefruit skin
512,grassy,,grasse
513,gravy,,grave
514,greasy,,grease
515,green onions,,green onion
516,grilled,,grill
517,grocery store,,grocere store
518,ground,,ground
519,guaiacol,,guaiacol
520,guaiacwood,,guaiacwood
521,hairy,,haire
522,ham,,ham
523,hard yolk,,hard yolk
524,harsh,,harsh
525,hawthorn,,hawthorn
526,hay,,hay
527,heather,,heather
528,heavy,,heave
529,heliotrope,,heliotrope
530,heliotropin,,heliotropin
531,herbal,,herb
532,honeydew,,honeydew
533,honeysuckle,,honeysuckle
534,hot,,hot
535,humid,,humid
536,humus,,humu
537,hydroxycitronellal,,hydroxycitronellal
538,iactonic,,iactonic
539,immortelle,,immortelle
540,incense,,incense
541,indole,,indole
542,intense,,intense
543,intensely,,intense
544,iodine,,iodine
545,ionone,,ionone
546,irone,,irone
547,isoeugenol,,isoeugenol
548,isojasmone,,isojasmone
549,jam preserves,,jam preserv
550,jammy,,jamme
551,jasmin,,jasmin
552,jasmone,,jasmone
553,juicy,,juice
554,juniper,,juniper
555,juniper berry,,juniper berre
556,ketone,,ketone
557,ketonic,,ketonic
558,kiwi,,kiwi
559,labdanum,,labdanum
560,lactonic,,lactonic
561,lamb,,lamb
562,lard,,lard
563,laundered cloths,,launder cloth
564,laundry,,laundre
565,lavandin,,lavandin
566,leather,,leather
567,leathery,,leathere
568,leaves,,leav
569,leek,,leek
570,lemon peel,,lemon peel
571,lemon rind,,lemon rind
572,lemongrass,,lemongras
573,liatrix,,liatrix
574,light,,light
575,lily of the valley,,lile of the vallee
576,lime blossom,,lime blossom
577,linalool,,linalool
578,linalyl acetate,,linalyl acetate
579,linden,,linden
580,linen,,linen
581,linseed,,linse
582,liquor,,liquor
583,logenberry,,logenberre
584,longifolone,,longifolone
585,lovage,,lovage
586,low,,low
587,lychee,,lychee
588,mace,,mace
589,macrocyclic,,macrocyclic
590,mahogany,,mahogane
591,mallow,,mallow
592,maltol,,maltol
593,malty,,malte
594,mandarin skin,,mandarin skin
595,maple syrup,,maple syrup
596,marine,,marine
597,matches,,match
598,may blossom,,may blossom
599,meadow,,meadow
600,medical,,medical
601,mellow,,mellow
602,melon rind,,melon rind
603,mentholic,,mentholic
604,mercaptan,,mercaptan
605,metallic,,metallic
606,methyl acetophenone,,methyl acetophenone
607,methyl dihydrojasmonate,,methyl dihydrojasmonate
608,methyl ionone,,methyl ionone
609,mignonette,,mignonette
610,mild,,mild
611,mild cooling,,mild cool
612,milk,,milk
613,milky,,milk
614,mimosa,,mimosa
615,moist,,moist
616,molasses,,molass
617,moldy,,molde
618,moscato,,moscato
619,moth ball,,moth ball
620,mouldy,,moulde
621,mousy,,mouse
622,musk,,musk
623,mutton,,mutton
624,myrcene,,myrcene
625,myrrh,,myrrh
626,naphtha,,naphtha
627,naphthalic,,naphthalic
628,naphthelene,,naphthelene
629,naphthyl,,naphthyl
630,narcissus,,narcissu
631,nasturtium,,nasturtium
632,natural,,natural
633,neroli,,neroli
634,new car,,new car
635,new mown hay,,new mown hay
636,niobe,,niobe
637,nitrile,,nitrile
638,nopyl acetate,,nopyl acetate
639,nut skin,,nut skin
640,oak,,oak
641,oakmoss,,oakmos
642,ocimene,,ocimene
643,odorless,,odorles
644,old paper,,old paper
645,old wood,,old wood
646,olibanum,,olibanum
647,opoponax,,opoponax
648,orange blossom,,orange blossom
649,orange flower,,orange flower
650,orange juice,,orange juice
651,orchid,,orchid
652,oriental,,oriental
653,outdoor,,outdoor
654,overripe fruit,,overripe fruit
655,oxyacetaldehyde,,oxyacetaldehyde
656,ozone,,ozone
657,painty,,painte
658,palmarosa,,palmarosa
659,parmesan,,cheese
660,parsley,,parslee
661,passion fruit,,passion fruit
662,pastry,,pastre
663,patchouli,,patchouli
664,peach-pit,,peach pit
665,pear skin,,pear skin
666,peely,,pee
667,pencil,,pencil
668,penetrating,,penetrat
669,peony,,peone
670,peppery,,pepper
671,peptone,,peptone
672,petal,,petal
673,petitgrain,,petitgrain
674,petroleum,,petroleum
675,phenolic,,phenolic
676,pine needle,,pine needle
677,pistachio,,pistachio
678,plant,,plant
679,pleasant,,pleasant
680,plum skin,,plum skin
681,pollen,,pollen
682,pork,,pork
683,powderful,,powderful
684,powdery,,powdere
685,powerful,,powerful
686,privet,,privet
687,privet blossom,,privet blossom
688,profarnesal,,profarnesal
689,propionic,,propionic
690,pulpy,,pulpe
691,pumpkin,,pumpkin
692,pyrazine,,pyrazine
693,pyridine,,pyridine
694,radiant,,radiant
695,radish,,radish
696,raisin,,raisin
697,raw,,raw
698,red cedar,,red cedar
699,red fruit,,red fruit
700,red hots,,red hot
701,red rose,,red rose
702,repulsive,,repulsive
703,reseda,,reseda
704,resinous,,resinou
705,rhodinol,,rhodinol
706,rhubarb,,rhubarb
707,rich,,rich
708,ricotta,,ricotta
709,ripe,,ripe
710,ripe apricot,,ripe apricot
711,roasted,,roast
712,roasted almonds,,roast almond
713,roasted in sugar syrup,,roast in sugar syrup
714,roasted nuts,,roast nut
715,roasted peanut,,roast peanut
716,roasted peanuts,,roast peanut
717,romano,,romano
718,root,,root
719,rootbeer,,rootbeer
720,rooty,,roote
721,roquefort cheese,,roquefort cheese
722,rose acetate,,rose acetate
723,rose bud,,rose bud
724,rose de mai,,rose de mai
725,rose dried,,rose dri
726,rose flower,,rose flower
727,rose oxide,,rose oxide
728,rose petals,,rose petal
729,rose water,,rose water
730,rosemary,,rosemare
731,rosy,,rose
732,rotten,,rotten
733,rotting,,rott
734,rubbery,,rubbere
735,rue,,rue
736,rummy,,rumme
737,russian,,russian
738,rye,,rye
739,saffron,,saffron
740,salicylate,,salicylate
741,salmon,,salmon
742,salt,,salt
743,sandal,,sandal
744,sandalwood,,sandalwood
745,sandy,,sande
746,sap,,sap
747,sappy,,sappe
748,sarsaparilla,,sarsaparilla
749,sassafrass,,sassafras
750,sausage,,sausage
751,savory,,umami
752,sawdust,,sawdust
753,sawen,,sawen
754,scallion,,scallion
755,sea,,sea
756,sea breeze,,sea breeze
757,seafood,,seafood
758,seashell,,seashell
759,seashore,,seashore
760,seaside,,seaside
761,sensual,,sensual
762,shellfish,,shellfish
763,shrimp,,shrimp
764,sick,,sick
765,sickening,,sicken
766,skunk,,skunk
767,skunky,,skunke
768,slight,,slight
769,slightly ethereal,,slight ethereal
770,slightly fruity,,slight fruit
771,slightly metallic,,slight metallic
772,slightly roasted nut,,slight roast nut
773,slightly rose,,slight rose
774,slightly waxy,,slight waxe
775,smoked,,smoke
776,soft,,soft
777,soil,,soil
778,soup,,soup
779,soupy,,soupe
780,soybean,,soybean
781,spring,,spr
782,stem,,stem
783,stinky,,stinke
784,storax,,storax
785,strong,,strong
786,styrax,,styrax
787,styrene,,styrene
788,sugar,,sugar
789,sulfide,,sulfide
790,sulfury,,sulfur
791,sweaty,,sweate
792,sweet corn,,sweet corn
793,syrup,,syrup
794,taco,,taco
795,tagette,,tagette
796,tangerine,,tangerine
797,tangy,,tange
798,tarragon,,tarragon
799,tarry,,tarre
800,terpene,,terpene
801,terpenic,,terpenic
802,terpineol,,terpineol
803,thiamine,,thiamine
804,thuja,,thuja
805,thujone,,thujone
806,thymol,,thymol
807,toasted,,toast
808,tobacco-leaf,,tobacco leaf
809,toffee,,toffee
810,tolu,,tolu
811,toluene,,toluene
812,tonka,,tonka
813,tree,,tree
814,tropical,,tropic
815,tropical fruit,,tropic fruit
816,tuberose,,tuberose
817,turnup,,turnup
818,tutti frutti,,tutti frutti
819,umami,,umami
820,undecatriene,,undecatriene
821,undecylenic,,undecylenic
822,undergrowth,,undergrowth
823,unpleasant,,unpleasant
824,unripe banana,,unripe banana
825,unripe fruit,,unripe fruit
826,unripe plum,,unripe plum
827,valerian,,valerian
828,valeric,,valeric
829,vanillin,,vanillin
830,vegetable skin,,vegetable skin
831,velvety,,velvete
832,verbena,,verbena
833,very faint,,vere faint
834,very intense,,vere intense
835,very mild,,vere mild
836,very slight,,vere slight
837,very strong,,vere strong
838,very sweet,,vere sweet
839,vetiver,,vetiver
840,vetiver acetate,,vetiver acetate
841,vine,,vine
842,vinegar,,vinegar
843,vinous,,vinou
844,violet-leaf,,violet leaf
845,wasabi,,wasabi
846,watercress,,watercres
847,watery,,watere
848,waxy,,waxe
849,weak,,weak
850,weedy,,weede
851,wet,,wet
852,wild,,wild
853,wine-lee,,wine lee
854,winey,,winee
855,yeasty,,yeaste
856,ylang,,ylang
857,cookedvegetable,,cookedvegetable
858,cookedpotato,,cookedpotato
859,roastednut,,roastednut
860,roastedmeat,,roastedmeat
861,roastbeef,,roastbeef
862,peanutbutter,,peanutbutter
863,burntsugar,,burntsugar
864,cookedmeat,,cookedmeat
865,meatbroth,,meatbroth
866,greenbean,,greenbean
867,applepeel,,applepeel
868,orangepeel,,orangepeel
869,crushedbug,,crushedbug
870,tomatoleaf,,tomatoleaf
871,boxtree,,boxtree
872,greenleaf,,greenleaf
873,tartlime,,tartlime
874,wetcloth,,wetcloth
875,cottoncandy,,cottoncande
876,hotmilk,,hotmilk
877,boiledvegetable,,boiledvegetable
878,bitteralmond,,bitteralmond
879,greenpepper,,greenpepper
880,apple.rose,,apple rose
881,weakspice,,weakspice
882,brownsugar,,brownsugar
883,almondshell,,almondshell
